HCPCS,DESCRIPTION,STATUS CODE,WORK RVU
30906,Repeat control of nosebleed,A,2.45
3090F,Mdd severe w/o psych,I,0
30915,Ligation nasal sinus artery,A,7.44
3091F,Mdd severe w/psych,I,0
30920,Ligation upper jaw artery,A,11.14
3092F,Mdd in remission,I,0
30930,Ther fx nasal inf turbinate,A,1.31
3093F,Doc new diag 1st/addl mdd,I,0
3095F,Central dexa results docd,M,0
3096F,Central dexa ordered,I,0
30999,Unlisted procedure nose,C,0
31000,Irrigation maxillary sinus,A,1.2
31002,Irrigation sphenoid sinus,A,1.96
3100F,Image test ref carot diam,I,0
31020,Exploration maxillary sinus,A,3.07
31030,Exploration maxillary sinus,A,6.01
31032,Explore sinus remove polyps,A,6.69
31040,Exploration behind upper jaw,A,9.77
31050,Exploration sphenoid sinus,A,5.37
31051,Sphenoid sinus surgery,A,7.25
31070,Exploration of frontal sinus,A,4.4
31075,Exploration of frontal sinus,A,9.51
31080,Removal of frontal sinus,A,12.74
31081,Removal of frontal sinus,A,14.19
31084,Removal of frontal sinus,A,14.95
31085,Removal of frontal sinus,A,15.64
31086,Removal of frontal sinus,A,14.36
31087,Removal of frontal sinus,A,14.57
31090,Exploration of sinuses,A,11.17
3110F,Pres/absn hmrhg/lesion docd,I,0
3111F,Ct/mri brain done w/in 24hrs,I,0
3112F,Ct/mri brain done 24 hrs,I,0
3115F,Quant results activity &symp,I,0
3117F,Hf assessment tool completed,I,0
3118F,Ny heart assoc class docd,I,0
3119F,No eval activity clin symp,I,0
31200,Removal of ethmoid sinus,A,5.14
31201,Removal of ethmoid sinus,A,8.6
31205,Removal of ethmoid sinus,A,10.58
3120F,12-lead ecg performed,I,0
31225,Removal of upper jaw,A,26.7
31230,Removal of upper jaw,A,30.82
31231,Nasal endoscopy dx,A,1.1
31233,Nsl/sins ndsc dx max sinusc,A,2.18
31235,Nsl/sins ndsc dx sphn sinusc,A,2.64
31237,Nsl/sins ndsc surg bx polypc,A,2.6
31238,Nsl/sins ndsc srg nsl hemrrg,A,2.74
31239,Nsl/sinus endoscopy surg dcr,A,9.04
31240,Nsl/sns ndsc cnch bull rescj,A,2.61
31241,Nsl/sns ndsc lig sphnptn art,A,8
31242,Nsl/sinus ndsc rf abltj pnn,A,2.7
31243,Nsl/sinus ndsc cryoabltj pnn,A,2.7
31253,Nsl/sins ndsc total,A,9
31254,Nsl/sins ndsc w/prtl ethmdct,A,4.27
31255,Nsl/sins ndsc w/tot ethmdct,A,5.75
31256,Exploration maxillary sinus,A,3.11
31257,Nsl/sins ndsc tot w/sphendt,A,8
31259,Nsl/sins ndsc sphn tiss rmvl,A,8.48
31267,Endoscopy maxillary sinus,A,4.68
3126F,Esoph bx rprt w/dyspl info,M,0
31276,Nsl/sins ndsc frnt tiss rmvl,A,6.75
31287,Nasal/sinus endoscopy surg,A,3.5
31288,Nasal/sinus endoscopy surg,A,4.1
31290,Nasal/sinus endoscopy surg,A,18.61
31291,Nasal/sinus endoscopy surg,A,19.56
31292,Nsl/sins ndsc med/inf dcmprn,A,15.9
31293,Nsl/sins ndsc med&inf dcmprn,A,17.47
31294,Nsl/sins ndsc surg on dcmprn,A,20.31
31295,Nsl/sins ndsc surg max sins,A,2.7
31296,Nsl/sins ndsc surg frnt sins,A,3.1
31297,Nsl/sins ndsc surg sphn sins,A,2.44
31298,Nsl/sins ndsc surg frnt&sphn,A,4.5
31299,Unlisted px accessory sinus,C,0
31300,Removal of larynx lesion,A,15.91
3130F,Upper gi endoscopy performed,I,0
3132F,Doc ref upper gi endoscopy,I,0
31360,Removal of larynx,A,29.91
31365,Removal of larynx,A,38.81
31367,Partial removal of larynx,A,30.57
31368,Partial removal of larynx,A,34.19
31370,Partial removal of larynx,A,27.57
31375,Partial removal of larynx,A,26.07
31380,Partial removal of larynx,A,25.57
31382,Partial removal of larynx,A,28.57
31390,Removal of larynx & pharynx,A,42.51
31395,Reconstruct larynx & pharynx,A,43.8
31400,Revision of larynx,A,11.6
3140F,Upper gi endo shows barrtts,I,0
3141F,Upper gi endo not barrtts,I,0
31420,Epiglottidectomy,A,11.43
3142F,Barium swallow test ordered,I,0
31500,Insert emergency airway,A,3
31502,Change of windpipe airway,A,0.65
31505,Diagnostic laryngoscopy,A,0.61
3150F,Forceps esoph biopsy done,I,0
31510,Laryngoscopy with biopsy,A,1.92
31511,Remove foreign body larynx,A,2.16
31512,Removal of larynx lesion,A,2.07
31513,Injection into vocal cord,A,2.1
31515,Laryngoscopy for aspiration,A,1.8
31520,Dx laryngoscopy newborn,A,2.56
31525,Dx laryngoscopy excl nb,A,2.63
31526,Dx laryngoscopy w/oper scope,A,2.57
31527,Laryngoscopy for treatment,A,3.27
31528,Laryngoscopy and dilation,A,2.37
31529,Laryngoscopy and dilation,A,2.68
31530,Laryngoscopy w/fb removal,A,3.38
31531,Laryngoscopy w/fb & op scope,A,3.58
31535,Laryngoscopy w/biopsy,A,3.16
31536,Laryngoscopy w/bx & op scope,A,3.55
31540,Laryngoscopy w/exc of tumor,A,4.12
31541,Larynscop w/tumr exc + scope,A,4.52
31545,Remove vc lesion w/scope,A,6.3
31546,Remove vc lesion scope/graft,A,9.73
31551,Laryngoplasty laryngeal sten,A,21.5
31552,Laryngoplasty laryngeal sten,A,20.5
31553,Laryngoplasty laryngeal sten,A,22
31554,Laryngoplasty laryngeal sten,A,22
3155F,Cytogen test marrow b/4 tx,I,0
31560,Laryngoscop w/arytenoidectom,A,5.45
31561,Larynscop remve cart + scop,A,5.99
31570,Laryngoscope w/vc inj,A,3.86
31571,Laryngoscop w/vc inj + scope,A,4.26
31572,Largsc w/laser dstrj les,A,3.01
31573,Largsc w/ther injection,A,2.43
31574,Largsc w/njx augmentation,A,2.43
31575,Diagnostic laryngoscopy,A,0.94
31576,Laryngoscopy with biopsy,A,1.89
31577,Largsc w/rmvl foreign bdy(s),A,2.19
31578,Largsc w/removal lesion,A,2.43
31579,Laryngoscopy telescopic,A,1.88
31580,Laryngoplasty laryngeal web,A,14.6
31584,Laryngoplasty fx rdctj fixj,A,17.58
31587,Laryngoplasty cricoid split,A,15.27
31590,Reinnervate larynx,A,7.85
31591,Laryngoplasty medialization,A,13.56
31592,Cricotracheal resection,A,25
31599,Unlisted procedure larynx,C,0
31600,Planned tracheostomy,A,5.56
31601,Planned tracheostomy<2 yrs,A,8
31603,Emer tracheostomy ttrach,A,6
31605,Emer tracheostomy cthyr mem,A,6.45
3160F,Doc fe+ stores b/4 epo thx,I,0
31610,Tracheostomy fenest skin flp,A,12
31611,Constj trachesophgl fstl,A,6
31612,Perq trchl pnxr ttrach aspir,A,0.91
31613,Tracheostoma revj simple,A,4.71
31614,Tracheostoma revj complex,A,8.63
31615,Trcheobrnchsc est trachs inc,A,1.84
31622,Dx bronchoscope/wash,A,2.53
31623,Dx bronchoscope/brush,A,2.63
31624,Dx bronchoscope/lavage,A,2.63
31625,Bronchoscopy w/biopsy(s),A,3.11
31626,Bronchoscopy w/markers,A,3.91
31627,Navigational bronchoscopy,A,2
31628,Bronchoscopy/lung bx each,A,3.55
31629,Bronchoscopy/needle bx each,A,3.75
31630,Bronchoscopy dilate/fx repr,A,3.81
31631,Bronchoscopy dilate w/stent,A,4.36
31632,Bronchoscopy/lung bx addl,A,1.03
31633,Bronchoscopy/needle bx addl,A,1.32
31634,Bronch w/balloon occlusion,A,3.75
31635,Bronchoscopy w/fb removal,A,3.42
31636,Bronchoscopy bronch stents,A,4.3
31637,Bronchoscopy stent add-on,A,1.58
31638,Bronchoscopy revise stent,A,4.88
31640,Bronchoscopy w/tumor excise,A,4.93
31641,Bronchoscopy treat blockage,A,5.02
31643,Diag bronchoscope/catheter,A,3.49
31645,Brnchsc w/ther aspir 1st,A,2.88
31646,Brnchsc w/ther aspir sbsq,A,2.78
31647,Bronchial valve init insert,A,4.15
31648,Bronchial valve remov init,A,3.95
31649,Bronchial valve remov addl,A,1.44
31651,Bronchial valve addl insert,A,1.58
31652,Bronch ebus samplng 1/2 node,A,4.46
31653,Bronch ebus samplng 3/> node,A,4.96
31654,Bronch ebus ivntj perph les,A,1.4
31660,Bronch thermoplsty 1 lobe,A,4
31661,Bronch thermoplsty 2/> lobes,A,4.25
3170F,Baselin flo cytometry b/4 tx,I,0
31717,Bronchial brush biopsy,A,2.12
31720,Clearance of airways,A,1.06
31725,Clearance of airways,A,1.71
31730,Intro windpipe wire/tube,A,2.85
31750,Tracheoplasty cervical,A,15.39
31755,Trachplsty trchphryngl fstlj,A,17.54
31760,Tracheoplasty intrathoracic,A,23.48
31766,Carinal reconstruction,A,31.67
31770,Repair/graft of bronchus,A,23.54
31775,Reconstruct bronchus,A,24.59
31780,Reconstruct windpipe,A,19.84
31781,Reconstruct windpipe,A,24.85
31785,Remove windpipe lesion,A,18.35
31786,Remove windpipe lesion,A,25.42
31800,Repair of windpipe injury,A,8.18
31805,Repair of windpipe injury,A,13.42
31820,Closure of windpipe lesion,A,4.64
31825,Repair of windpipe defect,A,7.07
31830,Revise windpipe scar,A,4.62
31899,Unlisted px trachea bronchi,C,0
3200F,Barium swallow test not req,I,0
32035,Thoracostomy w/rib resection,A,11.29
32036,Thoracostomy w/flap drainage,A,12.3
32096,Open wedge/bx lung infiltr,A,13.75
32097,Open wedge/bx lung nodule,A,13.75
32098,Open biopsy of lung pleura,A,12.91
32100,Exploration of chest,A,13.75
3210F,Grp a strep test performed,M,0
32110,Explore/repair chest,A,25.28
32120,Re-exploration of chest,A,14.39
32124,Explore chest free adhesions,A,15.45
32140,Removal of lung lesion(s),A,16.66
32141,Remove/treat lung lesions,A,27.18
32150,Removal of lung lesion(s),A,16.82
32151,Remove lung foreign body,A,16.94
3215F,Pt immunity to hep a docd,I,0
32160,Open chest heart massage,A,13.1
3216F,Pt immunity to hep b docd,I,0
3218F,Rna tstng hep c docd done,I,0
32200,Drain open lung lesion,A,18.68
3220F,Hep c quant rna tstng docd,I,0
32215,Treat chest lining,A,13.05
32220,Release of lung,A,26.65
32225,Partial release of lung,A,16.75
3230F,Note hring tst w/in 6 mon,I,0
32310,Removal of chest lining,A,15.28
32320,Free/remove chest lining,A,27.25
32400,Needle biopsy chest lining,A,1.76
32408,Core ndl bx lng/med perq,A,3.18
32440,Remove lung pneumonectomy,A,27.28
32442,Sleeve pneumonectomy,A,56.47
32445,Removal of lung extrapleural,A,63.84
32480,Partial removal of lung,A,25.82
32482,Bilobectomy,A,27.44
32484,Segmentectomy,A,25.38
32486,Sleeve lobectomy,A,42.88
32488,Completion pneumonectomy,A,42.99
32491,Lung volume reduction,R,25.24
32501,Repair bronchus add-on,A,4.68
32503,Resect apical lung tumor,A,31.74
32504,Resect apical lung tum/chest,A,36.54
32505,Wedge resect of lung initial,A,15.75
32506,Wedge resect of lung add-on,A,3
32507,Wedge resect of lung diag,A,3
3250F,Nonprim loc anat bx site tum,M,0
32540,Removal of lung lesion,A,30.35
32550,Insert pleural cath,A,3.92
32551,Insertion of chest tube,A,3.04
32552,Remove lung catheter,A,2.53
32553,Ins mark thor for rt perq,A,3.55
32554,Aspirate pleura w/o imaging,A,1.82
32555,Aspirate pleura w/ imaging,A,2.27
32556,Insert cath pleura w/o image,A,2.5
32557,Insert cath pleura w/ image,A,3.12
32560,Treat pleurodesis w/agent,A,1.54
32561,Lyse chest fibrin init day,A,1.39
32562,Lyse chest fibrin subq day,A,1.24
32601,Thoracoscopy diagnostic,A,5.5
32604,Thoracoscopy wbx sac,A,8.77
32606,Thoracoscopy w/bx med space,A,8.39
32607,Thoracoscopy w/bx infiltrate,A,5.5
32608,Thoracoscopy w/bx nodule,A,6.84
32609,Thoracoscopy w/bx pleura,A,4.58
3260F,Pt cat/pn cat/hist grd docd,M,0
32650,Thoracoscopy w/pleurodesis,A,10.83
32651,Thoracoscopy remove cortex,A,18.78
32652,Thoracoscopy rem totl cortex,A,29.13
32653,Thoracoscopy remov fb/fibrin,A,18.17
32654,Thoracoscopy contrl bleeding,A,20.52
32655,Thoracoscopy resect bullae,A,16.17
32656,Thoracoscopy w/pleurectomy,A,13.26
32658,Thoracoscopy w/sac fb remove,A,11.71
32659,Thoracoscopy w/sac drainage,A,11.94
3265F,Rna tstng hepc vir ord/docd,I,0
32661,Thoracoscopy w/pericard exc,A,13.33
32662,Thoracoscopy w/mediast exc,A,14.99
32663,Thoracoscopy w/lobectomy,A,24.64
32664,Thoracoscopy w/ th nrv exc,A,14.28
32665,Thoracoscop w/esoph musc exc,A,21.53
32666,Thoracoscopy w/wedge resect,A,14.5
32667,Thoracoscopy w/w resect addl,A,3
32668,Thoracoscopy w/w resect diag,A,3
32669,Thoracoscopy remove segment,A,23.53
3266F,Hepc gn tstng docd b/4txmnt,I,0
32670,Thoracoscopy bilobectomy,A,28.52
32671,Thoracoscopy pneumonectomy,A,31.92
32672,Thoracoscopy for lvrs,A,27
32673,Thoracoscopy w/thymus resect,A,21.13
32674,Thoracoscopy lymph node exc,A,4.12
3267F,Path rprt w/ pt pn cat et al,M,0
3268F,Psa/t/glsc docd b/4 txmnt,I,0
3269F,Bone scn b/4 txmnt/aftr dx,M,0
32701,Thorax stereo rad targetw/tx,A,4.18
3270F,No bone scn b/4 txmnt/aftrdx,M,0
3271F,Low risk prostate cancer,I,0
3272F,Med risk prostate cancer,I,0
3273F,High risk prostate cancer,I,0
3274F,Prost cncr rsk not lw/md/hgh,I,0
3278F,Serum lvls ca/ipth/lpd ord,I,0
3279F,Hgb lvl >= 13 g/dl,I,0
32800,Repair lung hernia,A,15.71
3280F,Hgb lvl 11-12.9 g/dl,I,0
32810,Close chest after drainage,A,14.95
32815,Close bronchial fistula,A,50.03
3281F,Hgb lvl <11 g/dl,I,0
32820,Reconstruct injured chest,A,22.51
3284F,Iop red >=15% pre-ntrv lvl,I,0
32850,Donor pneumonectomy,X,0
32851,Lung transplant single,A,59.64
32852,Lung transplant with bypass,A,65.5
32853,Lung transplant double,A,84.48
32854,Lung transplant with bypass,A,90
32855,Prepare donor lung single,C,0
32856,Prepare donor lung double,C,0
3285F,Iop down <15% of pre-svc lvl,I,0
3288F,Fall risk assessment docd,I,0
32900,Removal of rib(s),A,23.81
32905,Revise & repair chest wall,A,23.29
32906,Revise & repair chest wall,A,29.3
3290F,Pt=d(rh)- and unsensitized,I,0
3291F,Pt=d(rh)+ or sensitized,I,0
3292F,Hiv tstng asked/docd/revwd,I,0
3293F,Abo rh blood typing docd,I,0
32940,Revision of lung,A,21.34
3294F,Grp b strep screening docd,I,0
32960,Therapeutic pneumothorax,A,1.84
32994,Ablate pulm tumor perq crybl,A,9.03
32997,Total lung lavage,A,7.31
32998,Ablate pulm tumor perq rf,A,9.03
32999,Unlisted px lungs & pleura,C,0
3300F,Ajcc stage docd b/4 thxpy,I,0
33016,Pericardiocentesis w/imaging,A,4.4
33017,Prcrd drg 6yr+ w/o cgen car,A,4.62
33018,Prcrd drg 0-5yr or w/anomly,A,5.4
33019,Perq prcrd drg insj cath ct,A,4.29
3301F,Cancer stage docd metast,I,0
33020,Incision of heart sac,A,14.31
33025,Incision of heart sac,A,13.2
33030,Partial removal of heart sac,A,36
33031,Partial removal of heart sac,A,45
33050,Resect heart sac lesion,A,16.97
33120,Exc icar tum resc w/card byp,A,38.45
33130,Rescj external cardiac tumor,A,24.17
33140,Heart revascularize (tmr),A,28.34
33141,Heart tmr w/other procedure,A,2.54
3315F,Er+ or pr+ breast cancer,I,0
3316F,Er- or pr- breast cancer,I,0
3317F,Path rpt malig cancer docd,I,0
3318F,Path rpt malig cancer docd,I,0
3319F,X-ray/ct/ultrsnd et al ord,M,0
33202,Insert epicard eltrd open,A,13.2
33203,Insert epicard eltrd endo,A,13.97
33206,Insert heart pm atrial,A,7.14
33207,Insert heart pm ventricular,A,7.8
33208,Insrt heart pm atrial & vent,A,8.52
3320F,No xray/ct/ et al ordd,M,0
33210,Insert electrd/pm cath sngl,A,3.05
33211,Insert card electrodes dual,A,3.14
33212,Insert pulse gen sngl lead,A,5.01
33213,Insert pulse gen dual leads,A,5.28
33214,Upgrade of pacemaker system,A,7.59
33215,Reposition pacing-defib lead,A,4.92
33216,Insert 1 electrode pm-defib,A,5.62
33217,Insert 2 electrode pm-defib,A,5.59
33218,Repair lead pace-defib one,A,5.82
3321F,Ajcc cncr 0/ia melan docd,M,0
33220,Repair lead pace-defib dual,A,5.9
33221,Insert pulse gen mult leads,A,5.55
33222,Relocation pocket pacemaker,A,4.85
33223,Relocate pocket for defib,A,6.3
33224,Insert pacing lead & connect,A,9.04
33225,L ventric pacing lead add-on,A,8.33
33226,Reposition l ventric lead,A,8.68
33227,Remove&replace pm gen singl,A,5.25
33228,Remv&replc pm gen dual lead,A,5.52
33229,Remv&replc pm gen mult leads,A,5.79
3322F,Melanomaajcc stage 0 or ia,M,0
33230,Insrt pulse gen w/dual leads,A,6.07
33231,Insrt pulse gen w/mult leads,A,6.34
33233,Removal of pm generator,A,3.14
33234,Removal of pacemaker system,A,7.66
33235,Removal pacemaker electrode,A,9.9
33236,Remove electrode/thoracotomy,A,12.73
33237,Remove electrode/thoracotomy,A,13.84
33238,Remove electrode/thoracotomy,A,15.4
3323F,Clin node stgng docdb/4 surg,I,0
33240,Insrt pulse gen w/singl lead,A,5.8
33241,Remove pulse generator,A,3.04
33243,Remove eltrd/thoracotomy,A,23.57
33244,Remove elctrd transvenously,A,13.74
33249,Insj/rplcmt defib w/lead(s),A,14.92
3324F,Mri ct scan ord rvwd rqstd,I,0
33250,Ablate heart dysrhythm focus,A,25.9
33251,Ablate heart dysrhythm focus,A,28.92
33254,Ablate atria lmtd,A,23.71
33255,Ablate atria w/o bypass ext,A,29.04
33256,Ablate atria w/bypass exten,A,34.9
33257,Ablate atria lmtd add-on,A,9.63
33258,Ablate atria x10sv add-on,A,11
33259,Ablate atria w/bypass add-on,A,14.14
3325F,Preop asses 4 cataract surg,I,0
33261,Ablate heart dysrhythm focus,A,28.92
33262,Rmvl& replc pulse gen 1 lead,A,5.81
33263,Rmvl & rplcmt dfb gen 2 lead,A,6.08
33264,Rmvl & rplcmt dfb gen mlt ld,A,6.35
33265,Ablate atria lmtd endo,A,23.71
33266,Ablate atria x10sv endo,A,33.04
33267,Excl laa open any method,A,18.5
33268,Excl laa opn oth px any meth,A,2.5
33269,Excl laa thrscp any method,A,14.31
33270,Ins/rep subq defibrillator,A,9.1
33271,Insj subq impltbl dfb elctrd,A,7.5
33272,Rmvl of subq defibrillator,A,5.42
33273,Repos prev impltbl subq dfb,A,6.5
33274,Tcat insj/rpl perm ldls pm,A,7.8
33275,Tcat rmvl perm ldls pm w/img,A,8.59
33276,Insj phrnc nrv stim sys,A,9.5
33277,Insj phrnc nrv stim transvns,A,5.43
33278,Rmvl phrnc nrv stim sys,A,9.55
33279,Rmvl phrnc nrv stim transvns,A,5.42
33280,Rmvl phrnc nrv stim pg only,A,3.04
33281,Reposg phrnc nrv stim trnsvn,A,6
33285,Insj subq car rhythm mntr,A,1.53
33286,Rmvl subq car rhythm mntr,A,1.5
33287,Rmv&rplcmt phrnc nrv stim pg,A,6.05
33288,Rmv&rplcmt phrnc nrv stim ld,A,8.51
33289,Tcat impl wrls p-art prs snr,A,6
3328F,Prfrmnc docd 2 wks b/4 surg,I,0
33300,Repair of heart wound,A,44.97
33305,Repair of heart wound,A,76.93
3330F,Imaging study ordered (bkp),I,0
33310,Exploratory heart surgery,A,20.34
33315,Exploratory heart surgery,A,35
3331F,Bk imaging tst not ordered,I,0
33320,Repair major blood vessel(s),A,18.54
33321,Repair major vessel,A,20.81
33322,Repair major blood vessel(s),A,24.42
33330,Insert major vessel graft,A,25.29
33335,Insert major vessel graft,A,33.91
33340,Perq clsr tcat l atr apndge,A,14
33361,Replace aortic valve perq,A,22.47
33362,Replace aortic valve open,A,24.54
33363,Replace aortic valve open,A,25.47
33364,Replace aortic valve open,A,25.97
33365,Replace aortic valve open,A,26.59
33366,Trcath replace aortic valve,A,29.35
33367,Replace aortic valve w/byp,A,11.88
33368,Replace aortic valve w/byp,A,14.39
33369,Replace aortic valve w/byp,A,19
33370,Tcat plmt&rmvl cepd perq,A,2.5
33390,Valvuloplasty aortic valve,A,35
33391,Valvuloplasty aortic valve,A,41.5
33404,Prepare heart-aorta conduit,A,31.37
33405,Replacement aortic valve opn,A,41.32
33406,Replacement aortic valve opn,A,52.68
3340F,Mammo assess inc xray docd,I,0
33410,Replacement aortic valve opn,A,46.41
33411,Replacement of aortic valve,A,62.07
33412,Replacement of aortic valve,A,59
33413,Replacement of aortic valve,A,59.87
33414,Repair of aortic valve,A,39.37
33415,Revision subvalvular tissue,A,37.27
33416,Revise ventricle muscle,A,36.56
33417,Repair of aortic valve,A,29.33
33418,Repair tcat mitral valve,A,32.25
33419,Repair tcat mitral valve,A,7.93
3341F,Mammo assess negative docd,I,0
33420,Revision of mitral valve,A,25.79
33422,Revision of mitral valve,A,29.73
33425,Repair of mitral valve,A,49.96
33426,Repair of mitral valve,A,43.28
33427,Repair of mitral valve,A,44.83
3342F,Mammo assess bengn docd,I,0
33430,Replacement of mitral valve,A,50.93
3343F,Mammo probably bengn docd,I,0
33440,Rplcmt a-valve tlcj autol pv,A,64
3344F,Mammo assess susp docd,I,0
3345F,Mammo assess hghlymalig doc,I,0
33460,Revision of tricuspid valve,A,44.7
33463,Valvuloplasty tricuspid,A,57.08
33464,Valvuloplasty tricuspid,A,44.62
33465,Replace tricuspid valve,A,50.72
33468,Revision of tricuspid valve,A,45.13
33474,Revision of pulmonary valve,A,39.4
33475,Replacement pulmonary valve,A,42.4
33476,Revision of heart chamber,A,26.57
33477,Implant tcat pulm vlv perq,A,25
33478,Revision of heart chamber,A,27.54
33496,Repair prosth valve clot,A,29.84
33500,Repair heart vessel fistula,A,27.94
33501,Repair heart vessel fistula,A,19.51
33502,Coronary artery correction,A,21.85
33503,Coronary artery graft,A,22.51
33504,Coronary artery graft,A,25.46
33505,Repair artery w/tunnel,A,38.4
33506,Repair artery translocation,A,37.85
33507,Repair art intramural,A,31.4
33508,Endoscopic vein harvest,A,0.31
33509,Ndsc hrv uxtr art 1 sgm cab,A,3.34
3350F,Mammo bx proven malig docd,I,0
33510,Cabg vein single,A,34.98
33511,Cabg vein two,A,38.45
33512,Cabg vein three,A,43.98
33513,Cabg vein four,A,45.37
33514,Cabg vein five,A,48.08
33516,Cabg vein six or more,A,49.76
33517,Cabg artery-vein single,A,3.61
33518,Cabg artery-vein two,A,7.93
33519,Cabg artery-vein three,A,10.49
3351F,Neg scrn dep symp by deptool,I,0
33521,Cabg artery-vein four,A,12.59
33522,Cabg artery-vein five,A,14.14
33523,Cabg art-vein six or more,A,16.08
3352F,No sig dep symp by dep tool,I,0
33530,Coronary artery bypass/reop,A,10.13
33533,Cabg arterial single,A,33.75
33534,Cabg arterial two,A,39.88
33535,Cabg arterial three,A,44.75
33536,Cabg arterial four or more,A,48.43
3353F,Mild-mod dep symp by deptool,I,0
33542,Removal of heart lesion,A,48.21
33545,Repair of heart damage,A,57.06
33548,Restore/remodel ventricle,A,54.14
3354F,Clin sig dep sym by dep tool,I,0
33572,Open coronary endarterectomy,A,4.44
33600,Closure of valve,A,30.31
33602,Closure of valve,A,29.34
33606,Anastomosis/artery-aorta,A,31.53
33608,Repair anomaly w/conduit,A,31.88
33610,Repair by enlargement,A,31.4
33611,Repair double ventricle,A,35.57
33612,Repair double ventricle,A,36.57
33615,Repair modified fontan,A,35.89
33617,Repair single ventricle,A,39.09
33619,Repair single ventricle,A,48.76
33620,Apply r&l pulm art bands,A,30
33621,Transthor cath for stent,A,16.18
33622,Redo compl cardiac anomaly,A,64
33641,Repair heart septum defect,A,29.58
33645,Revision of heart veins,A,31.3
33647,Repair heart septum defects,A,33
33660,Repair of heart defects,A,31.83
33665,Repair of heart defects,A,34.85
33670,Repair of heart chambers,A,36.63
33675,Close mult vsd,A,35.95
33676,Close mult vsd w/resection,A,36.95
33677,Cl mult vsd w/rem pul band,A,38.45
33681,Closure 1 vsd w/wo patch,A,32.34
33684,Clsr 1 vsd w/wo patch w/vlvt,A,34.37
33688,Clsr 1vsd w/wo ptch rmvl bnd,A,34.75
33690,Banding pulmonary artery,A,20.36
33692,Comp rpr tof wo pulm atresia,A,36.15
33694,Cmp rpr tof wo plm atrs ptch,A,35.57
33697,Compl rpr tof w/pulm atresia,A,37.57
33702,Repair of heart defects,A,27.24
3370F,Ajcc brst cncr stage 0 docd,I,0
33710,Repair of heart defects,A,37.5
33720,Repair of heart defect,A,27.26
33724,Repair venous anomaly,A,27.63
33726,Repair pul venous stenosis,A,37.12
3372F,Ajcc brst cncr stage 1 docd,I,0
33730,Repair heart-vein defect(s),A,36.14
33732,Repair heart-vein defect,A,28.96
33735,Revision of heart chamber,A,22.2
33736,Revision of heart chamber,A,24.32
33741,Tas congenital car anomal,A,14
33745,Tis cgen car anomal 1st shnt,A,20
33746,Tis cgen car anomal ea addl,A,8
3374F,Ajcc brst cncr stage 1 docd,I,0
33750,Shunt subclavian to pulm art,A,22.22
33755,Shunt as-aort to pulm art,A,22.6
33762,Shunt desc aorta to pulm art,A,22.6
33764,Shunt central w/prostc graft,A,22.6
33766,Shunt supr v/c p-art 1 lung,A,23.57
33767,Shunt supr v/c p-art bth lng,A,25.3
33768,Anast cavopulm sec sup v/c,A,8
3376F,Ajcc brstcncr stage 2 docd,I,0
33770,Rpr tga w/o surg enlgmnt vsd,A,39.07
33771,Rpr tga w/surg enlgmnt vsd,A,40.63
33774,Rpr tga atrial baffle px,A,31.73
33775,Rpr tga atr bfl rmvl plm bnd,A,32.99
33776,Rpr tga atr bfl clsr vsd,A,34.75
33777,Rpr tga bfl rpr sbpulm obstr,A,34.17
33778,Rpr tga aortic pulm art rcns,A,42.75
33779,Rpr tga rcnstj rmvl plm bnd,A,43.23
33780,Rpr tga rcnstj clsr vsd,A,43.9
33781,Rpr tga rcnstj rpr sbpl obst,A,43.21
33782,Nikaidoh proc,A,60.08
33783,Nikaidoh proc w/ostia implt,A,65.08
33786,Repair arterial trunk,A,41.87
33788,Revision of pulmonary artery,A,27.42
3378F,Ajcc brstcncr stage 3 docd,I,0
33800,Aortic suspension,A,17.28
33802,Division aberrant vessel,A,18.37
33803,Div aberrant vsl w/reanast,A,20.31
3380F,Ajcc brstcncr stage 4 docd,I,0
33814,Obltrj a-pulm sep def w/byp,A,26.57
33820,Repair pda by ligation,A,16.69
33822,Repair pda div<18 years,A,17.71
33824,Repair pda div 18 yrs&older,A,20.23
3382F,Ajcc cln cncr stage 0 docd,I,0
33840,Exc coa w/direct anastomosis,A,21.34
33845,Excision coa w/graft,A,22.93
3384F,Ajcc cln cncr stage 1 docd,I,0
33851,Exc coa rpr l subcl art/prst,A,21.98
33852,Rpr hypopl a-arch wo byp,A,24.41
33853,Rpr hypopl a-arch w/byp,A,32.51
33858,As-aort grf f/aortic dsj,A,63.4
33859,As-aort grf f/ds oth/thn dsj,A,45.13
33863,Ascending aortic graft,A,58.79
33864,Ascending aortic graft,A,60.08
33866,Aortic hemiarch graft,A,17.75
3386F,Ajcc cln cncr stage 2 docd,I,0
33871,Transvrs a-arch grf hypthrm,A,60.88
33875,Thoracic aortic graft,A,50.72
33877,Thoracoabdominal graft,A,69.03
33880,Endovasc taa repr incl subcl,A,34.58
33881,Endovasc taa repr w/o subcl,A,29.58
33883,Insert endovasc prosth taa,A,21.09
33884,Endovasc prosth taa add-on,A,8.2
33886,Endovasc prosth delayed,A,18.09
33889,Artery transpose/endovas taa,A,15.92
3388F,Ajcc cln cncr stage 3 docd,I,0
33891,Car-car bp grft/endovas taa,A,20
33894,Evasc st rpr thrc/aa acrs br,A,18.27
33895,Evasc st rpr thrc/aa x crsg,A,14.54
33897,Perq trluml angp nt/recr coa,A,10.81
